0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:49 +0900] "GET /spmDetail/1785 HTTP/1.1" 200 15693
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:49 +0900] "GET /resources/bootstrap/css/bootstrap.css HTTP/1.1" 200 172839
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:49 +0900] "GET /resources/bootstrap/js/bootstrap.js HTTP/1.1" 200 122441
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:50 +0900] "GET /resources/MH/images/likeO.png HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:12:50 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:09 +0900] "GET /bookmark/bookmarklist HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:09 +0900] "GET /resources/MH/images/delete.png HTTP/1.1" 200 731
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:52 +0900] "GET /spmDetail/Spmdetail.do?spmEnrollNo=9 HTTP/1.1" 400 1011
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:13:59 +0900] "GET /spmDetail/1785 HTTP/1.1" 200 15693
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:00 +0900] "GET /spmBm/get/1785 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:14:01 +0900] "DELETE /spmBm/6 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:17:20 +0900] "GET /chatbot HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:40 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:40 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:41 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:42 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:42 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:42 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:18:42 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:48 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:48 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:49 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:50 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:51 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:51 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:51 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:51 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:51 +0900] "GET /favicon.ico HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:51 +0900] "GET /chatbot HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/Jun/2018:10:19:51 +0900] "GET /favicon.ico HTTP/1.1" 404 992
